Method,p-value,AUC,Sensitivity,Specificity
Raw_svd_entropy,4.206025635614735e-07,0.8218694885361553,0.7857142857142857,0.7901234567901234
ERSI_anomaly,1.5647916727679469e-06,0.8055555555555556,0.7142857142857143,0.8765432098765432
Tsallis_ERSI_q0.5,1.5647916727679469e-06,0.8055555555555556,0.7142857142857143,0.8765432098765432
Renyi_ERSI_a0.5,1.6199227865539073e-06,0.8051146384479717,0.7142857142857143,0.8765432098765432
Tsallis_ERSI_q1.5,1.8597043349128705e-06,0.8033509700176368,0.75,0.8765432098765432
Raw_renyi_a0.5,2.061552989073853e-06,0.8020282186948854,0.7142857142857143,0.8641975308641976
Raw_tsallis_q0.5,2.2076361777501346e-06,0.8011463844797179,0.7142857142857143,0.8641975308641976
Renyi_ERSI_a2,3.5465278522460195e-06,0.7949735449735449,0.7142857142857143,0.9135802469135803
Raw_tsallis_q1.5,4.787069704856778e-06,0.791005291005291,0.75,0.8518518518518519
Raw_shannon,5.645941613960447e-06,0.7888007054673721,0.7142857142857143,0.8641975308641976
Raw_renyi_a2,7.099470249903066e-06,0.7857142857142857,0.7142857142857143,0.9012345679012346
ERSI_full,8.350021499965563e-06,0.7835097001763668,0.7857142857142857,0.7777777777777778
ERSI_morphology,0.00039932148171040757,0.7253086419753086,0.6785714285714286,0.8024691358024691
ERSI_selected,0.0006693787226367064,0.7164902998236331,0.6071428571428571,0.8888888888888888
Raw_sample_entropy,0.002524616164927783,0.6922398589065256,0.5714285714285714,0.8024691358024691
Raw_perm_entropy,0.04540655022906613,0.6274250440917107,0.7142857142857143,0.5925925925925926
Raw_app_entropy,0.04615935529051636,0.626984126984127,0.5,0.7160493827160495
ERSI_regularity,0.10685641785932748,0.6027336860670194,0.39285714285714285,0.8395061728395061
Raw_spectral_entropy,1.0,0.5,0.0,1.0
